cell_id,total_counts,mito_counts,mito_fraction,state_domain
GSM4916601_ND2_untreated_080818_plate1_A4_S25_rep1_NA,134207.0,9182.0,0.06841669957602807,D2
GSM4916602_ND2_untreated_080818_plate1_A5_S33_rep1_NA,3762.0,552.0,0.1467304625199362,D1
GSM4916603_ND2_untreated_080818_plate1_A6_S41_rep1_NA,250028.0,13585.0,0.05433391460156462,D2
GSM4916604_ND2_untreated_080818_plate1_A7_S49_rep1_NA,402911.0,18493.0,0.045898473856509255,D2
GSM4916605_ND2_untreated_080818_plate1_A8_S57_rep1_NA,159270.0,5597.0,0.035141583474602875,D2
GSM4916606_ND2_untreated_080818_plate1_A9_S65_rep1_NA,515778.0,52787.0,0.10234441949831129,D2
GSM4916607_ND2_untreated_080818_plate1_B10_S74_rep1_NA,240950.0,14522.0,0.060269765511516915,D2
GSM4916608_ND2_untreated_080818_plate1_B11_S82_rep1_NA,56743.0,3338.0,0.05882663940926634,D2
GSM4916609_ND2_untreated_080818_plate1_B12_S90_rep1_NA,316781.0,15585.0,0.04919802639678516,D2
GSM4916610_ND2_untreated_080818_plate1_B1_S2_rep1_NA,219401.0,14576.0,0.06643543101444387,D2
GSM4916611_ND2_untreated_080818_plate1_B2_S10_rep1_NA,173146.0,21450.0,0.12388388989638802,D2
GSM4916612_ND2_untreated_080818_plate1_B3_S18_rep1_NA,216458.0,17939.0,0.08287519980781491,D2
GSM4916613_ND2_untreated_080818_plate1_B4_S26_rep1_NA,78934.0,3729.0,0.047241999645273265,D2
GSM4916614_ND2_untreated_080818_plate1_B5_S34_rep1_NA,148713.0,8323.0,0.055966862345591846,D2
GSM4916615_ND2_untreated_080818_plate1_B6_S42_rep1_NA,166789.0,9822.0,0.05888877563868121,D2
GSM4916616_ND2_untreated_080818_plate1_B7_S50_rep1_NA,291938.0,10638.0,0.036439243949057676,D2
GSM4916617_ND2_untreated_080818_plate1_B8_S58_rep1_NA,411389.0,20755.0,0.05045103296393438,D2
GSM4916618_ND2_untreated_080818_plate1_B9_S66_rep1_NA,61517.0,3794.0,0.06167400881057269,D2
GSM4916619_ND2_untreated_080818_plate1_C10_S75_rep1_NA,51980.0,2564.0,0.04932666410157753,D2
GSM4916620_ND2_untreated_080818_plate1_C11_S83_rep1_NA,50895.0,3824.0,0.07513508203163376,D2
GSM4916621_ND2_untreated_080818_plate1_C12_S91_rep1_NA,617764.0,19816.0,0.03207697437856528,D2
GSM4916622_ND2_untreated_080818_plate1_C1_S3_rep1_NA,722632.0,34174.0,0.047291013960079266,D2
GSM4916623_ND2_untreated_080818_plate1_C2_S11_rep1_NA,280707.0,26787.0,0.09542690420972758,D2
GSM4916624_ND2_untreated_080818_plate1_C3_S19_rep1_NA,671235.0,78124.0,0.11638844815899052,D2
GSM4916625_ND2_untreated_080818_plate1_C4_S27_rep1_NA,314677.0,16137.0,0.05128115496207222,D2
GSM4916626_ND2_untreated_080818_plate1_C5_S35_rep1_NA,17159.0,870.0,0.05070225537618742,D2
GSM4916627_ND2_untreated_080818_plate1_C6_S43_rep1_NA,227243.0,9302.0,0.040934154187367705,D2
GSM4916628_ND2_untreated_080818_plate1_C7_S51_rep1_NA,277783.0,12655.0,0.04555714352570172,D2
GSM4916629_ND2_untreated_080818_plate1_C8_S59_rep1_NA,305691.0,32176.0,0.10525661534032732,D2
GSM4916630_ND2_untreated_080818_plate1_C9_S67_rep1_NA,27547.0,2928.0,0.1062910661778052,D2
GSM4916631_ND2_untreated_080818_plate1_D10_S76_rep1_NA,113265.0,3614.0,0.031907473623802585,D2
GSM4916632_ND2_untreated_080818_plate1_D11_S84_rep1_NA,247177.0,14930.0,0.060402060062222616,D2
GSM4916633_ND2_untreated_080818_plate1_D12_S92_rep1_NA,512069.0,23565.0,0.04601918882025664,D2
GSM4916634_ND2_untreated_080818_plate1_D1_S4_rep1_NA,588460.0,33938.0,0.05767256907861197,D2
GSM4916635_ND2_untreated_080818_plate1_D2_S12_rep1_NA,225629.0,12689.0,0.056238338156885864,D2
GSM4916636_ND2_untreated_080818_plate1_D3_S20_rep1_NA,97.0,8.0,0.08247422680412371,D1
GSM4916637_ND2_untreated_080818_plate1_D4_S28_rep1_NA,194456.0,9839.0,0.05059756448759616,D2
GSM4916638_ND2_untreated_080818_plate1_D5_S36_rep1_NA,191751.0,12551.0,0.06545467820246048,D2
GSM4916639_ND2_untreated_080818_plate1_D6_S44_rep1_NA,128596.0,6124.0,0.047622010015863636,D2
GSM4916640_ND2_untreated_080818_plate1_D7_S52_rep1_NA,66786.0,5777.0,0.08650016470517773,D2
GSM4916641_ND2_untreated_080818_plate1_D8_S60_rep1_NA,62603.0,2590.0,0.04137181924188937,D2
GSM4916642_ND2_untreated_080818_plate1_D9_S68_rep1_NA,94278.0,4198.0,0.04452788561488364,D2
GSM4916643_ND2_untreated_080818_plate1_E10_S77_rep1_NA,483032.0,42003.0,0.08695697179482932,D2
GSM4916644_ND2_untreated_080818_plate1_E11_S85_rep1_NA,289272.0,10718.0,0.037051633065073704,D2
GSM4916645_ND2_untreated_080818_plate1_E12_S93_rep1_NA,24947.0,975.0,0.03908285565398645,D1
GSM4916646_ND2_untreated_080818_plate1_E1_S5_rep1_NA,28639.0,1717.0,0.05995321065679667,D1
GSM4916647_ND2_untreated_080818_plate1_E2_S13_rep1_NA,149833.0,7206.0,0.048093544145815674,D2
GSM4916648_ND2_untreated_080818_plate1_E3_S21_rep1_NA,289884.0,16375.0,0.05648811248637386,D2
GSM4916649_ND2_untreated_080818_plate1_E4_S29_rep1_NA,36791.0,2497.0,0.06786985947650241,D2
GSM4916650_ND2_untreated_080818_plate1_E5_S37_rep1_NA,435798.0,34177.0,0.07842394871018224,D2
GSM4916651_ND2_untreated_080818_plate1_E6_S45_rep1_NA,402575.0,19352.0,0.048070545861019685,D2
GSM4916652_ND2_untreated_080818_plate1_E7_S53_rep1_NA,259397.0,24689.0,0.09517843305820807,D2
GSM4916653_ND2_untreated_080818_plate1_E8_S61_rep1_NA,63955.0,5056.0,0.07905558595887734,D2
GSM4916654_ND2_untreated_080818_plate1_E9_S69_rep1_NA,479385.0,53681.0,0.111978889618991,D2
GSM4916655_ND2_untreated_080818_plate1_F10_S78_rep1_NA,556337.0,71199.0,0.12797818588373594,D2
GSM4916656_ND2_untreated_080818_plate1_F11_S86_rep1_NA,452393.0,23606.0,0.05218029456689206,D2
