cell_id,population_label,group_order,total_counts,detected_genes,zero_fraction,pc1,pc2,pc3,pc4,pc5,H,S,M,R,S_base,R_base,S_refined,R_adjusted,threshold_scheme,branch_sector
High-2015-09-08-4-E5_S4_L000,PKH26_High,2,1864447,5826,0.9026371202246064,10.485634702290682,11.84739057294516,-13.375034823808733,-14.908510959414164,-14.784891821942365,1.2213122924378763,-0.8000014324000958,0.6744907594765952,-0.149327803152115,0.2043013657284506,0.0664484901871412,-0.8000014324000958,-0.149327803152115,median_like_0.0,unstable_committed_malignant
High-2015-09-08-4-E6_S5_L000,PKH26_High,2,1061123,5545,0.9073331327918712,-16.68008219005349,8.2369748816965,12.645375990847912,4.510913129027654,-0.3458445311885166,0.4701967937344776,-0.3330124152031404,0.6744907594765952,-0.1952734995324938,0.7393653188325722,-0.2977069897130142,-0.3330124152031404,-0.1952734995324938,median_like_0.0,unstable_committed_malignant
High-2015-09-08-4-F2_S31_L000,PKH26_High,2,972821,5810,0.902904508840536,-21.71916197737372,10.260604878198755,-11.093937058440718,16.77325511653628,1.9451301942540888,0.4701322899203275,1.166623069405831,0.6744907594765952,0.0818822280275668,0.3690708122665199,-0.5800771981183884,1.166623069405831,0.0818822280275668,median_like_0.0,mixed_sector
High-2015-09-08-4-F3_S32_L000,PKH26_High,2,1056399,6763,0.8869781744042248,-14.19798261943584,21.584301595749988,-11.271736033961473,29.794967305305462,-19.3907858645656,0.8882272378809163,0.7247751949524921,0.6744907594765952,-0.2117265187406735,0.5750657435254705,-0.8911791938808848,0.7247751949524921,-0.2117265187406735,median_like_0.0,malignant_reservoir
High-2015-09-08-4-F4_S33_L000,PKH26_High,2,840891,5416,0.9094889535078045,-26.89199978072561,9.543172279583157,-4.908271166581502,-4.064531075330871,-6.136256153040092,0.1535164071089219,-0.4495327281224774,0.6744907594765952,-1.4035606173033446,-0.0538925985821705,-0.7581636835602604,-0.4495327281224774,-1.4035606173033446,median_like_0.0,unstable_committed_malignant
High-2015-09-08-4-F6_S34_L000,PKH26_High,2,126745,5100,0.9147698786724155,-76.29333958391089,-14.35259724859083,23.13365005478742,0.2433248673106953,-21.444936608807723,-2.1426274686232825,-0.9169274433331858,0.6744907594765952,-2.709993136940802,-4.428677894482704,-2.818381854358321,-0.9169274433331858,-2.709993136940802,median_like_0.0,mixed_sector
High-2015-09-08-4-G1_S39_L000,PKH26_High,2,1180337,5089,0.9149537083458672,-35.34182797838754,12.434147962213848,-9.4355882975153,11.771981412964742,1.6344693416352754,0.409321693180063,1.062274721068606,0.6744907594765952,0.2995509916614614,-0.7323442295822499,-1.2429790809465255,1.062274721068606,0.2995509916614614,median_like_0.0,mixed_sector
High-2015-09-08-4-G2_S40_L000,PKH26_High,2,954306,5072,0.9152378087502924,-33.93193345737302,11.07827674780862,-7.374051054835522,14.500590528000997,1.6677252190216227,0.1586427405626566,1.0789454653410984,0.6744907594765952,-0.5000308265734223,-0.6171497436644753,-1.1267329697527542,1.0789454653410984,-0.5000308265734223,median_like_0.0,malignant_reservoir
High-2015-09-08-4-G3_S41_L000,PKH26_High,2,1116518,6898,0.8847220829573181,14.062006863603909,7.610770786817653,16.740673038781875,3.933073302301645,-9.071075598907594,0.9937609738919244,-0.8144758501217332,0.6744907594765952,-0.2472701057863741,-0.1150970952223044,0.3171725792403517,-0.8144758501217332,-0.2472701057863741,median_like_0.0,unstable_committed_malignant
High-2015-09-08-4-G5_S43_L000,PKH26_High,2,1512511,3928,0.9343560947892644,-35.85605784356372,7.007737200733453,-10.857462563143486,-11.304122932306283,9.839944836318264,0.1416518396150824,-0.3280418106157158,0.6744907594765952,-0.7367602611199128,-0.8009972988390317,-1.062489483538403,-0.3280418106157158,-0.7367602611199128,median_like_0.0,unstable_committed_malignant
