cell_id,population_label,group_order,total_counts,detected_genes,zero_fraction,pc1,pc2,pc3,pc4,pc5,H,S,M,R,oxidative_stress_score
High-2015-09-08-4-C4_S15_L000,PKH26_High,2,934599,6163,0.8970052475015876,-22.34941666890622,12.511038893005612,-10.305306962924444,30.83649561578809,-5.581851513331563,0.5498980891427236,0.3197269707834594,0.6744907594765952,-0.7067148591740696,-0.5000262775539102
High-2015-09-08-4-C5_S16_L000,PKH26_High,2,1242309,5642,0.9057120893077976,-14.015146976358944,13.397088865799558,-11.393293096740168,-3.277088070039944,-13.395521707747118,0.687768494840729,0.9789302720114724,0.6744907594765952,-0.4612307498289997,0.21960219910505016
High-2015-09-08-4-C6_S17_L000,PKH26_High,2,2086631,5018,0.9161402453290552,-5.78185480806675,6.587179512462511,-17.16242974046844,-9.310419753053118,6.518864735377899,1.0321636343615372,1.1881163606140162,0.6744907594765952,0.131027652631334,-0.9312323583117984
High-2015-09-08-4-D1_S22_L000,PKH26_High,2,1387689,6828,0.8858919081520105,8.331580955903789,26.60363305072344,0.4717803442805197,24.67428497024752,5.646160587353629,1.22113564387802,-0.1294747617038747,0.6744907594765952,-0.8170413982781366,0.25455481215971165
High-2015-09-08-4-D2_S23_L000,PKH26_High,2,1594118,6745,0.8872789865971457,18.194290415526915,23.73036869162416,23.192428059957063,17.721544682767504,4.63482168946353,1.35396381075353,-0.6504455808207017,0.6744907594765952,-0.659524450213822,0.10760244766235867
High-2015-09-08-4-D3_S24_L000,PKH26_High,2,1301907,7287,0.8782211972325278,10.962949780093496,22.12632956485355,-18.47328852156998,13.268902705462764,-22.99350025877436,1.2866698726745431,-0.0728927237837004,0.6744907594765952,-0.5439268644188076,0.37970280270752377
High-2015-09-08-4-D4_S25_L000,PKH26_High,2,747494,5198,0.9131321233998464,-36.413292245261054,-0.6754808312815866,-1.2258888737369122,13.032245550378027,-7.394877780672303,-0.0689217771856714,-1.0128931144225763,0.6744907594765952,-0.8353486161443426,-1.377620534541488
High-2015-09-08-4-D5_S26_L000,PKH26_High,2,1065626,6242,0.8956850162104348,-12.004653941317253,20.534664206236062,1.271862524142761,9.45743339371036,-11.380842044719666,0.7273598591448389,0.7448976891527476,0.6744907594765952,-0.7769456241734911,-0.6133016399321468
High-2015-09-08-4-E1_S1_L000,PKH26_High,2,1008018,6812,0.8861592967679401,2.656034173729816,12.53033964173944,19.62513433143629,10.733915754950592,-11.525097668654343,0.8498994847148521,0.8349634297070585,0.6744907594765952,-0.0348122245244233,-0.1891134536240941
High-2015-09-08-4-E2_S2_L000,PKH26_High,2,1075931,6879,0.8850396069387346,4.103881534653998,18.38941807455696,19.66364225452197,20.64645705040741,5.034025612475222,0.9454584945364836,0.5594795527396597,0.6744907594765952,-0.3603652806991427,-0.6918728846219248
High-2015-09-08-4-E4_S3_L000,PKH26_High,2,1192436,5012,0.9162405160600288,-29.282167153729013,10.645818966201691,-10.30010686194894,5.485849601997516,8.352595604606536,0.3885181737574323,-0.2412321916255805,0.6744907594765952,-0.905639998524022,-0.550819783666585
High-2015-09-08-4-E5_S4_L000,PKH26_High,2,1864447,5826,0.9026371202246064,10.485634702290682,11.84739057294516,-13.375034823808733,-14.908510959414164,-14.784891821942365,1.2213122924378763,0.2043013657284506,0.6744907594765952,0.0664484901871412,0.9531792929391667
High-2015-09-08-4-E6_S5_L000,PKH26_High,2,1061123,5545,0.9073331327918712,-16.68008219005349,8.2369748816965,12.645375990847912,4.510913129027654,-0.3458445311885166,0.4701967937344776,0.7393653188325722,0.6744907594765952,-0.2977069897130142,-1.467441947029725
High-2015-09-08-4-F2_S31_L000,PKH26_High,2,972821,5810,0.902904508840536,-21.71916197737372,10.260604878198755,-11.093937058440718,16.77325511653628,1.9451301942540888,0.4701322899203275,0.3690708122665199,0.6744907594765952,-0.5800771981183884,-0.6054524241178755
High-2015-09-08-4-F3_S32_L000,PKH26_High,2,1056399,6763,0.8869781744042248,-14.19798261943584,21.584301595749988,-11.271736033961473,29.794967305305462,-19.3907858645656,0.8882272378809163,0.5750657435254705,0.6744907594765952,-0.8911791938808848,-1.5143897262662311
High-2015-09-08-4-F4_S33_L000,PKH26_High,2,840891,5416,0.9094889535078045,-26.89199978072561,9.543172279583157,-4.908271166581502,-4.064531075330871,-6.136256153040092,0.1535164071089219,-0.0538925985821705,0.6744907594765952,-0.7581636835602604,-0.11980304077334791
High-2015-09-08-4-F6_S34_L000,PKH26_High,2,126745,5100,0.9147698786724155,-76.29333958391089,-14.35259724859083,23.13365005478742,0.2433248673106953,-21.444936608807723,-2.1426274686232825,-4.428677894482704,0.6744907594765952,-2.818381854358321,-1.7277197680872312
High-2015-09-08-4-G1_S39_L000,PKH26_High,2,1180337,5089,0.9149537083458672,-35.34182797838754,12.434147962213848,-9.4355882975153,11.771981412964742,1.6344693416352754,0.409321693180063,-0.7323442295822499,0.6744907594765952,-1.2429790809465255,-0.45434785063774036
High-2015-09-08-4-G2_S40_L000,PKH26_High,2,954306,5072,0.9152378087502924,-33.93193345737302,11.07827674780862,-7.374051054835522,14.500590528000997,1.6677252190216227,0.1586427405626566,-0.6171497436644753,0.6744907594765952,-1.1267329697527542,-0.44977819472847813
High-2015-09-08-4-G3_S41_L000,PKH26_High,2,1116518,6898,0.8847220829573181,14.062006863603909,7.610770786817653,16.740673038781875,3.933073302301645,-9.071075598907594,0.9937609738919244,-0.1150970952223044,0.6744907594765952,0.3171725792403517,-0.22089991261383043
High-2015-09-08-4-G5_S43_L000,PKH26_High,2,1512511,3928,0.9343560947892644,-35.85605784356372,7.007737200733453,-10.857462563143486,-11.304122932306283,9.839944836318264,0.1416518396150824,-0.8009972988390317,0.6744907594765952,-1.062489483538403,-0.7513787058292212
High-2015-09-08-4-G6_S44_L000,PKH26_High,2,602771,5156,0.9138340185166616,-34.229957200033304,0.5647248551062101,35.554540061930666,1.2142694673137948,-4.477132958020999,-0.3327575099943068,-0.8110961734826031,0.6744907594765952,-0.7634614481646882,-0.6788370446171058
Low-2015-09-08-2-A10_S70_L000,PKH26_Low,1,2151778,6385,0.8932952304555634,33.56278602818022,22.55720978347944,16.38836222877177,-18.874746919068205,-2.672471598472773,0.6951489592189442,-1.4561337484373182,0.0,-0.6726216896862054,0.6392860704898546
