cell_id,population_label,k,knn_same_label_purity,knn_label_entropy,centroid_margin,S_refined_raw,S_refined
G1-2015-05-07-B-A3_S172_L000,G1,12,0.8333333333333334,0.5660857389596289,17.336641130351342,0.6763052419832805,0.769881760875771
G1-2015-05-07-B-A4_S173_L000,G1,12,0.5833333333333334,0.887694275799104,3.177192694700537,-0.5271030875306407,-0.36632064471451375
High-2015-09-08-2-A1_S62_L000,PKH26_High,12,0.8333333333333334,0.45056120886630463,15.827596537120804,0.7324125991632859,0.8228557287599597
High-2015-09-08-2-A2_S63_L000,PKH26_High,12,0.5,1.0114042647073516,7.196138241901629,-0.66147587295479,-0.4931892048701957
High-2015-09-08-2-A3_S64_L000,PKH26_High,12,0.6666666666666666,0.8675632284814612,11.678865451576584,-0.08299931798819102,0.05298156461094332
High-2015-09-08-2-A4_S65_L000,PKH26_High,12,0.5,0.6931471805599453,0.13353543476816299,-0.6005731813227144,-0.4356877043053476
High-2015-09-08-2-A5_S66_L000,PKH26_High,12,0.25,0.5623351446188083,-4.279115304468327,-1.0794947242160982,-0.8878632425486854
High-2015-09-08-2-A6_S67_L000,PKH26_High,12,0.16666666666666666,0.7214636866925115,-7.7785296876568,-1.488372241099662,-1.2739064557135262
High-2015-09-08-2-C1_S72_L000,PKH26_High,12,0.3333333333333333,0.887694275799104,-5.052035145602119,-1.2476893572979262,-1.0466648247116894
High-2015-09-08-2-C3_S73_L000,PKH26_High,12,0.5833333333333334,0.887694275799104,-0.24220642963268801,-0.6373423136930774,-0.4704034160268616
High-2015-09-08-2-C5_S74_L000,PKH26_High,12,0.6666666666666666,0.6365141682948128,3.439514498392221,-0.1391147212383409,0.0
High-2015-09-08-2-D1_S82_L000,PKH26_High,12,0.25,0.5623351446188083,-9.40369033841565,-1.2447077238140483,-1.0438497044786934
High-2015-09-08-2-D2_S83_L000,PKH26_High,12,0.75,0.7214636866925115,9.894347923359973,0.1437129004388356,0.2670327404554245
