gene,log1p_mean_diff_PKH26_High_vs_G1
SH2B3,0.960966974253171
FAM120AOS,0.9608815157748254
NUMA1,0.9608003618144072
FICD,0.9607127845101705
SPRED2,0.960702437492333
KDM3A,0.960523178559405
SRSF6,0.960318331199252
USP7,0.9586725617503595
GRAMD2B,0.958526172882938
THYN1,0.9583153875184776
ENSG00000270346,0.9576498936326435
ASCC3,0.9575036498571129
PUM2,0.9574738327065431
EXOC1,0.955759637399912
SPATA20,0.953312064731223
BRD10,0.9526768195734323
RHOJ,0.9512478773880424
SMARCA2,0.9503145505026082
HSPH1,0.9483868909770661
ZCCHC24,0.9475187471700998
F2R,0.9475131521585682
ARHGEF7,0.9464259255701618
CD59,0.946387780841853
AOPEP,0.9447269180800324
DAAM1,0.9439179736168153
OPHN1,0.9430072711636553
DCTN5,0.9428647879014909
ARID1B,0.9414516362935466
TBL1X,0.9414199752311179
PPP1R8,0.9413988479603164
SMPD1,0.9412931166399441
COMMD9,0.9412047875517957
SYT17,0.9397693108529426
LRCH3,0.9394563828938759
CFH,0.9393165198691229
VPS36,0.9382853712529875
FLVCR2,0.9379721926205896
CNOT6,0.9355664812075073
ZNF76,0.9352166477717432
PTPN12,0.9346417232497686
CDC42BPA,0.9340705212256863
POLR1A,0.9334485524301108
FAM171A1,0.9328928099012437
HGSNAT,0.932874180441472
PPP1R16A,0.9326568397756163
C11ORF24,0.9324148218308257
TIA1,0.9318885203217073
H2AX,0.9317426902129933
AP3D1,0.9312343105654501
PRNP,0.9299833027977931
ATRAID,0.9291780052607894
SHARPIN,0.9289578390857716
CFAP44,0.9288426266705387
RERE,0.9283456547319313
TXNDC15,0.9273845963742413
DOCK7,0.9258812705466339
NRAV,0.9252053118206686
STK25,0.9246418105340162
MMP14,0.9244210072557347
USP9X,0.9243644515777465
DCBLD1,0.9242256042913943
IQSEC1,0.9235227751071222
LEPROT,0.9203722142013069
NPTN,0.9196989874329438
HES1,0.9190785151598837
MAPK1,0.9187761032244302
CELF2,0.9186762638552906
H4C8,0.9174819953441787
H2BC4,0.9171519544830768
B3GALNT1,0.9169148866321937
SPRYD3,0.9155496092457598
UTP14C,0.9152112602575295
INTS5,0.9148654894918278
EMILIN2,0.9139558013415222
LPP,0.9139063269615457
CAVIN1,0.9128055029493667
ARF6,0.9126799315279746
KAT2B,0.9126252388779
OLFML2A,0.9116790332539355
TSKU,0.9114707820118312
HNRNPAB,0.9110832855944473
ITGAV,0.9110024400716517
SYTL4,0.9108289591583827
GPRC5C,0.9107268298093113
JMJD8,0.9104147450390825
UGGT1,0.9101059394901709
EIF2AK2,0.9093632453646769
MFGE8,0.9092786036173492
MYD88,0.9089163034766314
KMT2E,0.9085635634375675
LRP1,0.9085091682124207
CLCF1,0.908507988602521
FBXO21,0.9084103270421342
SCP2,0.9068825332459145
TULP3,0.9067527828417485
CHST14,0.9066934087976481
ARFGEF1,0.9064953604167838
CD63,0.9063470724378124
BORCS7,0.9057199597315273
VPS25,0.9051303559310933
DHX57,0.9043663498267683
BCR,0.9043260310562786
NCOA5,0.9039987838024649
CCNY,0.9038610204659999
PIN1,0.9038141789756113
PARG,0.903230022903023
IGDCC4,0.9031951049244249
ENOX2,0.9007142704771911
BRI3BP,0.9003391532004896
COASY,0.900318252326544
TGOLN2,0.899818406804938
INTS15,0.8989142036710571
MEA1,0.8983524543157433
TTC28,0.8983240181702898
VPS18,0.8972632225827286
B4GALNT3,0.8965349757661937
SLC7A11,0.895939450379247
ZMYM3,0.8953552766144932
PGD,0.8944105870533146
FBXL3,0.8934263940101463
SCAP,0.8925487603895839
CRELD2,0.8918039793475202
RBM5,0.8914116070025992
C19ORF53,0.8913550157681152
SC5D,0.8913066643879493
TP53BP1,0.8907912691085405
C16ORF87,0.8902985965596215
GBP2,0.8899586746640271
CNPY2,0.8896898909348581
PAPSS2,0.8894441740787333
ANKRD18A,0.888694878850861
NPR2,0.888139260858754
B4GALT7,0.8879980110288103
SERPINH1,0.8875584697492114
LPGAT1,0.8874436280451988
RBM26,0.8869246444329439
PLXNA2,0.8867997511564387
GALM,0.8850961530190998
EPOR,0.8841702371829325
ATP6V0D1,0.8840721550865283
PSIP1,0.8837131718705389
