cell_id,population_label,group_order,total_counts,detected_genes,zero_fraction,pc1,pc2,pc3,pc4,pc5,H,S,M,R,glycolysis_score,oxphos_score,metabolic_balance_score,R_adjusted_raw,R_adjusted,R_minus_R_adjusted,S_refined,S_refined_raw
High-2015-09-08-2-G5_S55_L000,PKH26_High,2,1652093,6122,0.8976904308299074,18.52819564186868,15.84034915174322,22.96056071188585,9.651002518768284,27.25323223598767,1.1883744323441483,-0.4773279975651998,0.6744907594765952,-0.196511893268659,0.7996469863443121,0.2663508355883665,0.5332961507559455,-0.3473759987886895,-0.31587921356248316,0.11936732029382416,-0.4978252052217139,-0.7069263710291638
High-2015-09-08-2-G6_S56_L000,PKH26_High,2,1445549,5263,0.912045857147632,-2.72153579129032,-3.576274686333133,21.99515223201641,-3.798921158953034,3.854181248194352,0.7131888132027747,0.3294047770763431,0.6744907594765952,0.7501342979945851,-0.7361369081934783,-0.1713574394569754,-0.5647794687365029,0.12395386691263455,0.27743015650019043,0.47270414149439466,-0.9308975152273672,-1.1671882585395044
High-2015-09-08-4-C1_S12_L000,PKH26_High,2,619412,4002,0.9331194224405897,-59.755299264708526,-0.9046260667435456,0.4068910733818041,11.190860583989371,4.397536577625782,-0.8414365765500061,-2.8269415074279896,0.6744907594765952,-2.0810362065326,-0.6268423711498344,-2.084742394685181,1.4579000235353463,-0.8519151179138147,-0.9509923449883564,-1.1300438615442436,0.3068542262266473,0.1482732466844137
High-2015-09-08-4-C2_S13_L000,PKH26_High,2,907146,5263,0.912045857147632,-27.381775457766008,9.50846647003139,8.970083237393187,12.01735906189981,4.673931059279025,0.1793463487622359,-0.0936890385600746,0.6744907594765952,-0.7774310643686774,-0.5284100703228419,-1.0186816054723795,0.4902715351495376,-0.49016282784577836,-0.49561907255710075,-0.2818119918115766,0.5614192223944365,0.4188205962222306
High-2015-09-08-4-C3_S14_L000,PKH26_High,2,1214646,6021,0.8993783214679635,-3.1761656401156646,14.868838615369665,15.5714509788469,4.3209995661291165,0.3439138362381555,0.8005097359991343,1.2029955901136038,0.6744907594765952,-0.2639911063528019,-0.115918461777192,-0.3410557162064803,0.2251372544292882,-0.37367883202271446,-0.3489891829333442,0.08499807658054231,-0.0393525212806678,-0.219669397984909
High-2015-09-08-4-C4_S15_L000,PKH26_High,2,934599,6163,0.8970052475015876,-22.34941666890622,12.511038893005612,-10.305306962924444,30.83649561578809,-5.581851513331563,0.5498980891427236,0.3197269707834594,0.6744907594765952,-0.7067148591740696,-0.8698316751000024,-0.7736443852446927,-0.0961872898553096,-0.8457940832380506,-0.943287195173151,0.23657233599908134,1.1805847875647644,1.0768592311628526
High-2015-09-08-4-C5_S16_L000,PKH26_High,2,1242309,5642,0.9057120893077976,-14.015146976358944,13.397088865799558,-11.393293096740168,-3.277088070039944,-13.395521707747118,0.687768494840729,0.9789302720114724,0.6744907594765952,-0.4612307498289997,-0.5659646953018593,-0.1753427363416435,-0.3906219589602158,-0.9855799068684382,-1.1192493927700096,0.6580186429410099,-0.3861823450819309,-0.5882742375452226
High-2015-09-08-4-C6_S17_L000,PKH26_High,2,2086631,5018,0.9161402453290552,-5.78185480806675,6.587179512462511,-17.16242974046844,-9.310419753053118,6.518864735377899,1.0321636343615372,1.1881163606140162,0.6744907594765952,0.131027652631334,0.0984297269713741,-0.5769877060103205,0.6754174329816947,0.3659051055463438,0.5819980343834407,-0.4509703817521067,-0.5587002969056946,-0.7716233834067694
High-2015-09-08-4-D1_S22_L000,PKH26_High,2,1387689,6828,0.8858919081520105,8.331580955903789,26.60363305072344,0.4717803442805197,24.67428497024752,5.646160587353629,1.22113564387802,-0.1294747617038747,0.6744907594765952,-0.8170413982781366,-0.0281413790070472,-0.1408359391299606,0.1126945601229133,-1.0636777264469703,-1.2175588178866643,0.4005174196085277,0.6245113288787484,0.4858738142335455
High-2015-09-08-4-D2_S23_L000,PKH26_High,2,1594118,6745,0.8872789865971457,18.194290415526915,23.73036869162416,23.192428059957063,17.721544682767504,4.63482168946353,1.35396381075353,-0.6504455808207017,0.6744907594765952,-0.659524450213822,0.2078149753439712,-0.203398099224619,0.4112130745685903,-0.7115374539429415,-0.7742851396057749,0.11476068939195294,-0.5249576397699421,-0.735762261132032
