gene_id,mean_a,mean_b,delta_mean_a_minus_b,detected_frac_a,detected_frac_b,delta_detected_frac_a_minus_b,u_statistic,p_value,group_a,group_b,q_value_bh,abs_delta_mean,is_ercc
ENSG00000122406,2055.2601823708233,653.7623015873008,1401.4978807835223,0.9957446808510825,0.9174603174603143,0.07828436339076816,3300967.5,5.318325274486019e-230,D2_1,D2_2,3.8326898104864033e-228,1401.4978807835223,False
ENSG00000112308,1770.1440729483309,373.69999999999897,1396.444072948332,0.9647416413374038,0.7444444444444419,0.2202971968929619,3386759.5,3.632107275856793e-264,D2_1,D2_2,5.575284668440178e-262,1396.444072948332,False
ENSG00000090382,1419.6893617021267,124.84682539682527,1294.8425363053013,0.248632218844983,0.12619047619047583,0.12244174265450716,2345536.5,1.558874905201578e-27,D2_1,D2_2,2.6622974849626416e-27,1294.8425363053013,False
ENSG00000204592,1983.5106382978688,705.7071428571408,1277.803495440728,0.9866261398176476,0.9210317460317429,0.0655943937859047,2880589.0,1.1903390141058052e-100,D2_1,D2_2,8.006881624243694e-100,1277.803495440728,False
ENSG00000197746,1478.1720364741632,200.5626984126984,1277.6093380614648,0.7744680851063955,0.5269841269841252,0.2474839581222703,3021433.0,1.2590672990519797e-145,D2_1,D2_2,1.760171497308551e-144,1277.6093380614648,False
ENSG00000149273,1868.9920972644368,592.6579365079363,1276.3341607565005,0.9933130699088332,0.9341269841269809,0.05918608578185225,3305643.0,1.004214138962903e-231,D2_1,D2_2,7.746073885970132e-230,1276.3341607565005,False
ENSG00000137642,1504.5434650455927,236.49246031746048,1268.0510047281323,0.8528875379939357,0.6456349206349185,0.20725261735901723,3088856.0,2.7978489680994746e-161,D2_1,D2_2,5.023038790681513e-160,1268.0510047281323,False
ENSG00000174748,1679.5993920972685,418.00436507936524,1261.5950270179032,0.9963525835866448,0.8964285714285684,0.09992401215807645,3458009.5,4.992861544852886e-292,D2_1,D2_2,2.0168532819339946e-289,1261.5950270179032,False
ENSG00000188404,1671.4261398176263,436.8821428571423,1234.543996960484,0.7969604863222016,0.4849206349206333,0.3120398514015683,3123406.5,1.6054458464649164e-179,D2_1,D2_2,3.9303977261940137e-178,1234.543996960484,False
ENSG00000105810,1338.5373860182387,112.76428571428555,1225.7731003039532,0.8389057750760022,0.42103174603174465,0.4178740290442575,3432399.0,1.1921970951189667e-302,D2_1,D2_2,5.382419238257688e-300,1225.7731003039532,False
ENSG00000122566,1506.1477203647407,296.7571428571423,1209.3905775075984,0.9823708206687113,0.8396825396825368,0.14268828098617448,3487057.0,1.4295239583558249e-304,D2_1,D2_2,7.566618193366177e-302,1209.3905775075984,False
ENSG00000136167,1535.3854103343447,329.82380952380925,1205.5616008105353,0.9458966565349717,0.7638888888888863,0.1820077676460854,3246580.5,3.6504789115258083e-211,D2_1,D2_2,1.6776901584407533e-209,1205.5616008105353,False
ENSG00000108298,1862.7392097264458,673.5015873015877,1189.237622424858,0.9933130699088332,0.9095238095238064,0.08378926038502676,3293834.0,2.2585510827670825e-227,D2_1,D2_2,1.5205596105471367e-225,1189.237622424858,False
ENSG00000173812,1617.0200607902734,461.76230158730306,1155.2577592029704,0.9908814589665839,0.9166666666666635,0.07421479229992034,3320465.0,2.68777646414326e-237,D2_1,D2_2,2.38481900142191e-235,1155.2577592029704,False
ENSG00000111348,1621.5933130699098,474.13888888888886,1147.4544241810208,0.9866261398176476,0.8587301587301558,0.12789598108749178,3369520.5,2.6593979275765508e-256,D2_1,D2_2,3.346045753139349e-254,1147.4544241810208,False
ENSG00000167658,1399.4346504559267,257.1507936507936,1142.283856805133,0.9872340425532099,0.8273809523809496,0.15985309017226035,3509578.5,0.0,D2_1,D2_2,0.0,1142.283856805133,False
ENSG00000117632,1241.4224924012155,156.4658730158729,1084.9566193853427,0.7732522796352709,0.27420634920634834,0.49904593042892254,3357568.0,1.1145577154095398e-294,D2_1,D2_2,4.623908359874713e-292,1084.9566193853427,False
ENSG00000102144,1254.945288753799,170.72499999999974,1084.2202887537994,0.9075987841945451,0.5976190476190456,0.3099797365754995,3418161.5,1.1803137483391282e-281,D2_1,D2_2,3.235324292322432e-279,1084.2202887537994,False
ENSG00000162511,1429.139817629182,365.2916666666666,1063.8481509625155,0.9562310030395312,0.7920634920634894,0.16416751097604187,3305542.5,2.4052328948224516e-232,D2_1,D2_2,1.8836900477308486e-230,1063.8481509625155,False
ENSG00000134333,1274.5173252279615,219.39484126984084,1055.1224839581207,0.8711246200608055,0.533730158730157,0.33739446133064854,3352190.0,7.530854035688827e-259,D2_1,D2_2,1.0229965437860487e-256,1055.1224839581207,False
ENSG00000019582,1673.1647416413382,620.4591269841259,1052.7056146572122,0.6960486322188554,0.6607142857142835,0.0353343465045719,2505517.0,3.6296005704849286e-31,D2_1,D2_2,6.712574549029355e-31,1052.7056146572122,False
ENSG00000102879,1365.151367781154,313.0281746031747,1052.1231931779794,0.9124620060790437,0.7619047619047593,0.1505572441742844,3198524.0,1.2162686144788763e-194,D2_1,D2_2,3.9222107630778887e-193,1052.1231931779794,False
ENSG00000110955,1242.0468085106384,201.69047619047603,1040.3563323201624,0.8960486322188609,0.5698412698412679,0.32620736237759296,3408638.5,3.021765748603708e-279,D2_1,D2_2,7.362556228740781e-277,1040.3563323201624,False
ENSG00000067082,1446.7683890577507,408.6222222222217,1038.1461668355291,0.9215805471124786,0.7646825396825371,0.15689800742994153,3088531.0,8.985216756337456e-159,D2_1,D2_2,1.544491346134154e-157,1038.1461668355291,False
ENSG00000196776,1207.662613981764,183.67579365079328,1023.9868203309708,0.9598784194529052,0.7369047619047594,0.2229736575481458,3507995.5,0.0,D2_1,D2_2,0.0,1023.9868203309708,False
ENSG00000002586,1253.0887537993913,235.19920634920587,1017.8895474501854,0.9234042553191656,0.6452380952380931,0.27816616008107253,3437862.0,8.782569895458527e-288,D2_1,D2_2,3.2098201879830572e-285,1017.8895474501854,False
ENSG00000169045,1237.2255319148946,234.36706349206253,1002.8584684228322,0.9945288753799578,0.9039682539682509,0.09056062141170695,3513566.5,0.0,D2_1,D2_2,0.0,1002.8584684228322,False
ENSG00000135486,1205.1854103343444,203.50396825396828,1001.6814420803761,0.9920972644377085,0.8694444444444415,0.12265281999326705,3595519.5,0.0,D2_1,D2_2,0.0,1001.6814420803761,False
ENSG00000149925,1240.0273556231007,247.23928571428576,992.7880699088149,0.9221884498480409,0.6666666666666644,0.2555217831813765,3378386.0,7.19346205921132e-263,D2_1,D2_2,1.072035365134891e-260,992.7880699088149,False
ENSG00000083845,1545.3471124620073,559.2746031746037,986.0725092874036,0.9604863221884675,0.7809523809523783,0.17953394123608923,3270990.5,1.0871864681925107e-219,D2_1,D2_2,6.158048814300752e-218,986.0725092874036,False
ENSG00000142541,1573.5039513677789,595.2015873015855,978.3023640661934,0.9957446808510825,0.9440476190476158,0.05169706180346667,3209966.5,1.830537093019791e-197,D2_1,D2_2,6.371597364592697e-196,978.3023640661934,False
ENSG00000121691,1153.691185410331,178.9809523809523,974.7102330293786,0.7428571428571545,0.28412698412698323,0.4587301587301713,3233671.5,2.015993322924714e-242,D2_1,D2_2,1.9340935941808977e-240,974.7102330293786,False
ENSG00000143549,1204.1744680851048,233.0039682539681,971.1704998311367,0.9811550151975866,0.7809523809523783,0.20020263424520834,3529907.5,0.0,D2_1,D2_2,0.0,971.1704998311367,False
ENSG00000111716,1273.5829787234024,309.0916666666663,964.4913120567362,0.9179331306991046,0.6714285714285692,0.2465045592705355,3258871.5,2.8010085684260776e-217,D2_1,D2_2,1.4775079561972608e-215,964.4913120567362,False
ENSG00000165119,1132.2680851063824,172.35753968253954,959.9105454238429,0.9823708206687113,0.7742063492063466,0.20816447146236472,3569631.0,0.0,D2_1,D2_2,0.0,959.9105454238429,False
ENSG00000163466,1239.6237082066868,295.4289682539682,944.1947399527187,0.9689969604863401,0.8353174603174575,0.13367950016888264,3364940.0,1.1262042638066664e-254,D2_1,D2_2,1.361199641687585e-252,944.1947399527187,False
