cell_id,total_counts,detected_genes,mito_counts,mito_fraction,ribo_counts,ribo_fraction,log10_total_counts,log10_detected_genes,state_domain
GSM4916584_ND1_untreated_070218_plate1_H10_S78_rep1_NA,1240.0,189.0,12.0,0.00967741935483871,252.0,0.2032258064516129,3.093421685162235,2.2764618041732443,D1
GSM4916585_ND1_untreated_070218_plate1_H11_S86_rep1_NA,587476.0,888.0,176643.0,0.30068121931789554,2947.0,0.005016375137026874,5.768990129189786,2.948412965778601,D2
GSM4916586_ND1_untreated_070218_plate1_H12_S94_rep1_NA,164615.0,567.0,49006.0,0.29770069556237283,3661.0,0.022239771588251373,5.2164694063344355,2.7535830588929064,D1
GSM4916587_ND1_untreated_070218_plate1_H1_S8_rep1_NA,1898027.0,4570.0,111348.0,0.058665129631981,110924.0,0.05844173976450282,6.278302386103713,3.6599162000698504,D2
GSM4916588_ND1_untreated_070218_plate1_H2_S15_rep1_NA,936467.0,3008.0,63306.0,0.06760088716420333,57543.0,0.061446906297819355,5.971492477952136,3.4782778319196046,D2
GSM4916589_ND1_untreated_070218_plate1_H4_S30_rep1_NA,663515.0,1831.0,167816.0,0.2529196777766893,32713.0,0.049302577937198104,5.821850745352063,3.2626883443016963,D2
GSM4916590_ND1_untreated_070218_plate1_H5_S38_rep1_NA,1934658.0,2733.0,174687.0,0.09029347822715952,113821.0,0.05883262054585358,6.286604203546067,3.436639631692661,D2
GSM4916591_ND1_untreated_070218_plate1_H6_S46_rep1_NA,1157163.0,2593.0,79334.0,0.06855905347820489,46119.0,0.03985523214966258,6.063394538739575,3.4138025167693513,D2
GSM4916592_ND1_untreated_070218_plate1_H7_S54_rep1_NA,2308839.0,2771.0,329784.0,0.1428354250772791,227519.0,0.09854260084830514,6.363393649742897,3.442636525782232,D2
GSM4916593_ND1_untreated_070218_plate1_H8_S62_rep1_NA,1045514.0,1219.0,407241.0,0.3895127181462898,6034.0,0.005771323961228639,6.019329852631489,3.0860037056183818,D2
GSM4916594_ND1_untreated_070218_plate1_H9_S70_rep1_NA,7511510.0,4197.0,902421.0,0.12013842755983817,693073.0,0.09226813250598082,6.87572724975367,3.62293896921149,D2
GSM4916595_ND2_untreated_080818_plate1_A10_S73_rep1_NA,30950.0,788.0,2040.0,0.06591276252019386,1870.0,0.06042003231017771,4.490660653356136,2.8965262174895554,D2
GSM4916596_ND2_untreated_080818_plate1_A11_S81_rep1_NA,900162.0,3156.0,41390.0,0.04598061237866073,86833.0,0.09646374763653653,5.954320675411341,3.4991369945373827,D2
GSM4916597_ND2_untreated_080818_plate1_A12_S89_rep1_NA,645417.0,3181.0,30134.0,0.046689194737665723,29682.0,0.04598887231045975,5.80984040034424,3.502563669107363,D2
GSM4916598_ND2_untreated_080818_plate1_A1_S1_rep1_NA,1153825.0,3105.0,65443.0,0.056718306502285876,125629.0,0.10888046280848482,6.062139944610356,3.492061604512599,D2
GSM4916599_ND2_untreated_080818_plate1_A2_S9_rep1_NA,374218.0,3094.0,17171.0,0.04588501889273097,28981.0,0.07744416356241549,5.5731246733635205,3.490520309363349,D2
GSM4916600_ND2_untreated_080818_plate1_A3_S17_rep1_NA,96067.0,1637.0,7295.0,0.07593658592440693,3297.0,0.03431979764122956,4.982574228676172,3.2140486794119414,D2
GSM4916601_ND2_untreated_080818_plate1_A4_S25_rep1_NA,134207.0,3127.0,9182.0,0.06841669957602807,12989.0,0.09678332724820612,5.127775168456593,3.4951278812429334,D2
GSM4916602_ND2_untreated_080818_plate1_A5_S33_rep1_NA,3762.0,334.0,552.0,0.1467304625199362,931.0,0.2474747474747475,3.5754187912143602,2.5237464668115646,D1
GSM4916603_ND2_untreated_080818_plate1_A6_S41_rep1_NA,250028.0,3301.0,13585.0,0.05433391460156462,16647.0,0.06658054297918634,5.397988646930319,3.5186455243303114,D2
GSM4916604_ND2_untreated_080818_plate1_A7_S49_rep1_NA,402911.0,3059.0,18493.0,0.045898473856509255,29882.0,0.07416526230358565,5.605209124360549,3.485579476984679,D2
GSM4916605_ND2_untreated_080818_plate1_A8_S57_rep1_NA,159270.0,3134.0,5597.0,0.035141583474602875,12936.0,0.08122056884535694,5.202133980060819,3.496098992132571,D2
GSM4916606_ND2_untreated_080818_plate1_A9_S65_rep1_NA,515778.0,2751.0,52787.0,0.10234441949831129,61415.0,0.1190725467158351,5.712462813795778,3.4394905903896835,D2
GSM4916607_ND2_untreated_080818_plate1_B10_S74_rep1_NA,240950.0,1830.0,14522.0,0.060269765511516915,17131.0,0.0710977381199419,5.381926930637227,3.2624510897304293,D2
GSM4916608_ND2_untreated_080818_plate1_B11_S82_rep1_NA,56743.0,2287.0,3338.0,0.05882663940926634,3934.0,0.06933013763812276,4.7539122931976445,3.3592661646067485,D2
GSM4916609_ND2_untreated_080818_plate1_B12_S90_rep1_NA,316781.0,2621.0,15585.0,0.04919802639678516,21587.0,0.06814486979964077,5.50075912543447,3.4184670209466006,D2
GSM4916610_ND2_untreated_080818_plate1_B1_S2_rep1_NA,219401.0,2706.0,14576.0,0.06643543101444387,11061.0,0.05041453776418521,5.341238602698548,3.4323277922616042,D2
GSM4916611_ND2_untreated_080818_plate1_B2_S10_rep1_NA,173146.0,1616.0,21450.0,0.12388388989638802,26656.0,0.1539510008894228,5.238412462977633,3.208441356438567,D2
GSM4916612_ND2_untreated_080818_plate1_B3_S18_rep1_NA,216458.0,1325.0,17939.0,0.08287519980781491,42876.0,0.1980799970433063,5.3353736413926525,3.1222158782728267,D2
GSM4916613_ND2_untreated_080818_plate1_B4_S26_rep1_NA,78934.0,2272.0,3729.0,0.047241999645273265,5075.0,0.06429422048800264,4.897264111343449,3.3564083270389813,D2
GSM4916614_ND2_untreated_080818_plate1_B5_S34_rep1_NA,148713.0,2473.0,8323.0,0.055966862345591846,6256.0,0.04206760673243092,5.172348934772712,3.3932241163612975,D2
GSM4916615_ND2_untreated_080818_plate1_B6_S42_rep1_NA,166789.0,2842.0,9822.0,0.05888877563868121,8620.0,0.051682065364022804,5.222167404833909,3.4536240735914507,D2
GSM4916616_ND2_untreated_080818_plate1_B7_S50_rep1_NA,291938.0,3079.0,10638.0,0.036439243949057676,15349.0,0.05257623193965842,5.465290628445363,3.488409688903198,D2
GSM4916617_ND2_untreated_080818_plate1_B8_S58_rep1_NA,411389.0,2336.0,20755.0,0.05045103296393438,43122.0,0.10482049836043258,5.614252675051537,3.3684728384403617,D2
GSM4916618_ND2_untreated_080818_plate1_B9_S66_rep1_NA,61517.0,2690.0,3794.0,0.06167400881057269,3697.0,0.060097208901604436,4.788995148067529,3.429752280002408,D2
GSM4916619_ND2_untreated_080818_plate1_C10_S75_rep1_NA,51980.0,2277.0,2564.0,0.04932666410157753,3307.0,0.06362062331666025,4.715836275164993,3.3573630306151427,D2
GSM4916620_ND2_untreated_080818_plate1_C11_S83_rep1_NA,50895.0,1921.0,3824.0,0.07513508203163376,2866.0,0.05631201493270459,4.706675118700799,3.2835273648616936,D2
GSM4916621_ND2_untreated_080818_plate1_C12_S91_rep1_NA,617764.0,3468.0,19816.0,0.03207697437856528,54632.0,0.08843506581801465,5.790822596330452,3.540079088804173,D2
GSM4916622_ND2_untreated_080818_plate1_C1_S3_rep1_NA,722632.0,3144.0,34174.0,0.047291013960079266,50704.0,0.0701657275072236,5.858917189332349,3.4974825373673704,D2
GSM4916623_ND2_untreated_080818_plate1_C2_S11_rep1_NA,280707.0,1646.0,26787.0,0.09542690420972758,37348.0,0.13304976363254212,5.448253242785732,3.216429830876251,D2
GSM4916624_ND2_untreated_080818_plate1_C3_S19_rep1_NA,671235.0,2547.0,78124.0,0.11638844815899052,65890.0,0.09816234254769195,5.826874593694552,3.406028944963615,D2
GSM4916625_ND2_untreated_080818_plate1_C4_S27_rep1_NA,314677.0,3301.0,16137.0,0.05128115496207222,27402.0,0.08707976750763481,5.497865001133371,3.5186455243303114,D2
GSM4916626_ND2_untreated_080818_plate1_C5_S35_rep1_NA,17159.0,1736.0,870.0,0.05070225537618742,718.0,0.04184393029896847,4.234491974238988,3.239549720840473,D2
GSM4916627_ND2_untreated_080818_plate1_C6_S43_rep1_NA,227243.0,3007.0,9302.0,0.040934154187367705,16275.0,0.07161936781330998,5.3564905140801615,3.4781334281005174,D2
GSM4916628_ND2_untreated_080818_plate1_C7_S51_rep1_NA,277783.0,3104.0,12655.0,0.04555714352570172,10677.0,0.03843647739422499,5.443705663892225,3.491921712586151,D2
GSM4916629_ND2_untreated_080818_plate1_C8_S59_rep1_NA,305691.0,2244.0,32176.0,0.10525661534032732,19951.0,0.06526525151214789,5.48528265263556,3.3510228525841237,D2
GSM4916630_ND2_untreated_080818_plate1_C9_S67_rep1_NA,27547.0,991.0,2928.0,0.1062910661778052,2637.0,0.09572730242857662,4.440074309017631,2.9960736544852753,D2
GSM4916631_ND2_untreated_080818_plate1_D10_S76_rep1_NA,113265.0,1364.0,3614.0,0.031907473623802585,4310.0,0.038052355096455215,5.0540957293237065,3.13481437032046,D2
GSM4916632_ND2_untreated_080818_plate1_D11_S84_rep1_NA,247177.0,3036.0,14930.0,0.060402060062222616,15118.0,0.06116264862831089,5.39300805687875,3.4823017672234426,D2
GSM4916633_ND2_untreated_080818_plate1_D12_S92_rep1_NA,512069.0,3290.0,23565.0,0.04601918882025664,28813.0,0.056267807658733494,5.709328484999694,3.5171958979499744,D2
GSM4916634_ND2_untreated_080818_plate1_D1_S4_rep1_NA,588460.0,3405.0,33938.0,0.05767256907861197,60917.0,0.10351935560615845,5.769716947434887,3.532117116248804,D2
