gene_id,mean_d1,mean_d2,delta_mean_d1_minus_d2,detected_frac_d1,detected_frac_d2,delta_detected_frac_d1_minus_d2,u_statistic,p_value,q_value_bh,abs_delta_mean,is_ercc,gene_id_stripped,gene_symbol,gene_biotype,is_mito,is_ribo,is_hla
ENSG00000185607,0.388529886914378,0.1454981992797115,0.2430316876346665,0.0024232633279483,0.0993997599039608,-0.0969764965760125,2328230.5,3.52189581496076e-29,4.9746922742089734e-29,0.2430316876346665,False,ENSG00000185607,ACTBP7,processed_pseudogene,False,False,False
ENSG00000224822,0.6898222940226165,0.4573829531812717,0.2324393408413448,0.0525040387722131,0.0583433373349337,-0.0058392985627205,2563535.0,0.4507997580919437,0.451463520909965,0.2324393408413448,False,ENSG00000224822,THRB-IT1,lncRNA,False,False,False
ENSG00000236523,0.3788368336025848,0.1783913565426168,0.2004454770599679,0.0008077544426494,0.0813925570228085,-0.0805848025801591,2370546.0,1.3574808436085048e-24,1.7584928771003117e-24,0.2004454770599679,False,ENSG00000236523,NPM1P40,processed_pseudogene,False,False,False
ENSG00000240616,4.968497576736672,4.784153661464528,0.1843439152721435,0.0105008077544426,0.4297719087634976,-0.4192711010090549,1495291.5,2.2890552899099046e-158,1.9840014427569208e-157,0.1843439152721435,False,ENSG00000240616,RPS6P25,processed_pseudogene,False,True,False
ENSG00000176183,0.2633279483037157,0.1243697478991589,0.1389582004045567,0.0032310177705977,0.0869147659063619,-0.0836837481357642,2362668.0,9.782004143503543e-25,1.2699702586547751e-24,0.1389582004045567,False,ENSG00000176183,ENSG00000176183,processed_pseudogene,False,False,False
ENSG00000169218,0.3626817447495961,0.2355342136854746,0.1271475310641215,0.0105008077544426,0.0617046818727488,-0.0512038741183061,2446553.0,4.733444778307208e-13,4.817697634879425e-13,0.1271475310641215,False,ENSG00000169218,RSPO1,protein_coding,False,False,False
ENSG00000257616,0.3392568659127625,0.2129651860744297,0.1262916798383327,0.0016155088852988,0.0528211284513803,-0.0512056195660814,2446336.0,1.8135449649812146e-15,1.911774335790214e-15,0.1262916798383327,False,ENSG00000257616,ENSG00000257616,processed_pseudogene,False,False,False
ENSG00000230362,0.2536348949919225,0.1298919567827129,0.1237429382092095,0.0016155088852988,0.0590636254501798,-0.0574481165648809,2430269.0,2.578818374086433e-17,2.8581535032863614e-17,0.1237429382092095,False,ENSG00000230362,ACTG1P23,processed_pseudogene,False,False,False
ENSG00000256293,0.258481421647819,0.1351740696278508,0.1233073520199682,0.0024232633279483,0.0554621848739493,-0.053038921546001,2441570.0,9.27073401240633e-16,9.845964467646861e-16,0.1233073520199682,False,ENSG00000256293,ATP6V1E1P3,processed_pseudogene,False,False,False
ENSG00000254252,0.284329563812601,0.1654261704681873,0.1189033933444136,0.0008077544426494,0.0547418967587032,-0.0539341423160538,2439199.5,1.4394140225020135e-16,1.5631552447725648e-16,0.1189033933444136,False,ENSG00000254252,RPL7P20,processed_pseudogene,False,True,False
