Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2023,Protein Phosphatase Binding (GO:0019903),14/115,0.0013117494976865,0.0158748459617984,0,0,2.7536596261934694,18.27436895003428,PPP1R15A;ANKLE2;MTMR3;JUP;AP3B1;IQGAP1;ARPP19;PTPA;ENSA;CTNNB1;SHOC2;JAK3;CD33;PHACTR4
GO_Molecular_Function_2023,Actin Binding (GO:0003779),19/183,0.0014300665268301,0.0169605890082055,0,0,2.3059521971802,15.104066016898512,ITGB1;DBNL;MRTFA;MYO9B;ACTN4;CORO1A;CCDC88A;ABLIM1;PARVG;CAPZB;MICAL1;COTL1;MYH9;NF2;EZR;SPTAN1;VCL;MYO1F;PHACTR4
GO_Molecular_Function_2023,Histone Acetyltransferase Activity (GO:0004402),6/27,0.0015526785780533,0.0180536940546206,0,0,5.652445369406868,36.55873764027099,ATF2;SRCAP;KAT6A;EP300;KAT7;BAZ1A
GO_Molecular_Function_2023,GTP Binding (GO:0005525),20/201,0.0018201817749121,0.0207570729331331,0,0,2.1996767926630767,13.877362537863885,RAB2A;ARF1;RAB1B;SRP54;RHOG;RHOA;RAB11A;DNM2;RAP1B;RAB10;TUBA1C;TUBA1B;RAB14;RAB37;ANXA6;KRAS;ADSS2;RAB6A;ARF5;RAB7A
GO_Molecular_Function_2023,miRNA Binding (GO:0035198),6/29,0.0022945197212035,0.0256726451825227,0,0,5.160385468036013,31.36085830113112,RBM4;AGO3;DDX21;RC3H1;YBX1;PUM2
GO_Molecular_Function_2023,Phosphotyrosine Residue Binding (GO:0001784),7/39,0.0023929229264792,0.026229945798808,0,0,4.329654947916667,26.130505335799445,UXT;SYK;SH3BP2;PTPN11;GRB2;SAMSN1;VAV1
GO_Molecular_Function_2023,GTPase Activity (GO:0003924),24/265,0.0024327942983717,0.026229945798808,0,0,1.9845201374618835,11.94426065328264,RAB2A;RAB1A;ARF1;RAB5C;DDX3X;RGS19;RAB1B;SRP54;RHOG;SEPTIN9;RHOA;RAB11A;GNAI2;DNM2;EFTUD2;RAP1B;TUBA1B;OPA1;RAB14;RAB37;SRPRA;KRAS;RAB6A;RAB7A
GO_Molecular_Function_2023,Microtubule Binding (GO:0008017),22/239,0.0029598341043262,0.0313425289975981,0,0,2.018637992831541,11.753766104283766,CEP57;TUBGCP2;NDE1;TBCB;RAB11A;DNM2;UXT;CCDC88A;CLIP2;MAP1LC3B;CLIP1;OPA1;VAPA;KIF5B;TUBGCP6;MAP4;TUBGCP4;EZR;MAPRE1;CLASP1;CDK5RAP2;PAFAH1B1
GO_Molecular_Function_2023,Ribonucleoside Triphosphate Phosphatase Activity (GO:0017111),24/270,0.0030984185225624,0.0322344242785887,0,0,1.943667071877505,11.228299269755205,RAB2A;RAB1A;ARF1;RAB5C;DDX3X;RGS19;RAB1B;SRP54;RHOG;SEPTIN9;RHOA;RAB11A;GNAI2;DNM2;EFTUD2;RAP1B;TUBA1B;OPA1;RAB14;RAB37;SRPRA;KRAS;RAB6A;RAB7A
GO_Molecular_Function_2023,Guanyl Ribonucleotide Binding (GO:0032561),21/226,0.0032563566169382,0.0332934392042135,0,0,2.0388181302531843,11.67660973297524,RAB2A;ARF1;RAB5C;RAB1B;SRP54;RHOG;RHOA;RAB11A;DNM2;RAP1B;RAB10;TUBA1C;TUBA1B;RAB14;RAB37;ANXA6;KRAS;ADSS2;RAB6A;ARF5;RAB7A
GO_Molecular_Function_2023,Myosin V Binding (GO:0031489),4/14,0.0036822906525939,0.0370101416438681,0,0,7.901557632398754,44.282069373037984,RAB10;RAB14;RAB6A;RAB11A
GO_Molecular_Function_2023,Myosin Binding (GO:0017022),8/54,0.0041822677137989,0.0412280974694262,0,0,3.443260642879812,18.85839994557532,PYCARD;ARFGEF1;RAB10;RAB14;RAB6A;CORO1A;RHOA;RAB11A
GO_Molecular_Function_2023,snRNA Binding (GO:0017069),7/43,0.0042410015946627,0.0412280974694262,0,0,3.847771990740741,21.020208361910004,EFTUD2;CCNT2;DDX39B;SNRNP70;DDX21;SNRPA1;PRPF8
GO_Molecular_Function_2023,Flavin Adenine Dinucleotide Binding (GO:0050660),8/55,0.0046913621829123,0.0432762181461933,0,0,3.3698222882878883,18.06909593678472,ACADVL;CYB5R3;KDM1A;MICAL1;TXNRD1;QSOX1;SDHA;DLD
GO_Molecular_Function_2023,Protein Serine/Threonine Phosphatase Activity (GO:0004722),8/55,0.0046913621829123,0.0432762181461933,0,0,3.3698222882878883,18.06909593678472,PPP1CB;PPP2CA;PPP6C;MTMR3;DUSP1;MTMR14;CTDSPL2;PPM1F
GO_Molecular_Function_2023,Protein Heterodimerization Activity (GO:0046982),18/190,0.005045346478856,0.0432762181461933,0,0,2.0799005072659105,11.0011947698952,ITGB1;MEF2C;NOLC1;ARNT;CYBA;SUPT5H;SMC1A;PPP2CA;TCOF1;VAPA;TAF7;NAE1;TCF3;MICU2;FBXO7;ATF4;MCL1;PAFAH1B1
GO_Molecular_Function_2023,Ubiquitin Binding (GO:0043130),10/80,0.0050983790656118,0.0432762181461933,0,0,2.830721003134796,14.942902369588229,RNF168;WDR48;USP16;HGS;USP33;MDM2;UBXN7;RAD23A;RBCK1;FBXO7
GO_Molecular_Function_2023,Kinase Activity (GO:0016301),12/106,0.005137525708557,0.0432762181461933,0,0,2.531669822880695,13.344896691678608,LYN;CSNK2A1;SYK;TRRAP;PPIP5K2;DGKA;TAOK1;PI4KA;PIK3C3;PKN2;DGKZ;MTOR
GO_Molecular_Function_2023,Active Monoatomic Ion Transmembrane Transporter Activity (GO:0022853),5/24,0.0051549750743277,0.0432762181461933,0,0,5.201334938177044,27.399555761167804,COX8A;COX7B;UQCRC1;UQCR10;COX5B
GO_Molecular_Function_2023,Protein Serine/Threonine Kinase Activator Activity (GO:0043539),8/56,0.0052466517048354,0.0432762181461933,0,0,3.299443865137296,17.322625282059743,CCNK;CCNT2;DDX3X;TAOK1;RICTOR;CALM3;IQGAP1;GCN1
GO_Molecular_Function_2023,RNA Polymerase II CTD Heptapeptide Repeat Kinase Activity (GO:0008353),3/8,0.0052544480717131,0.0432762181461933,0,0,11.843153526970957,62.16092671748976,CCNK;DYRK1A;CDK12
GO_Molecular_Function_2023,Histone H3K4 Demethylase Activity (GO:0032453),3/8,0.0052544480717131,0.0432762181461933,0,0,11.843153526970957,62.16092671748976,KDM5A;KDM5C;KDM1A
GO_Molecular_Function_2023,Leucine Zipper Domain Binding (GO:0043522),3/8,0.0052544480717131,0.0432762181461933,0,0,11.843153526970957,62.16092671748976,MRTFA;PMF1;ATF4
GO_Molecular_Function_2023,pre-mRNA Intronic Binding (GO:0097157),3/8,0.0052544480717131,0.0432762181461933,0,0,11.843153526970957,62.16092671748976,HNRNPL;RBM4;PRPF8
GO_Molecular_Function_2023,Protein Phosphorylated Amino Acid Binding (GO:0045309),7/45,0.0054943624872685,0.044632287054113,0,0,3.644873903508772,18.96804303493489,UXT;SYK;SH3BP2;PTPN11;GRB2;SAMSN1;VAV1
GO_Molecular_Function_2023,Non-Membrane Spanning Protein Tyrosine Kinase Activity (GO:0004715),6/36,0.0070607063931434,0.0565810660964061,0,0,3.95483870967742,19.589147344361688,LYN;SYK;DYRK1A;PTK2B;TYK2;JAK3
GO_Molecular_Function_2023,SH3 Domain Binding (GO:0017124),8/59,0.0072159992055249,0.0570545003850171,0,0,3.104868224662128,15.311516708529489,KHDRBS1;MICAL1;SH3BP2;CYBA;GRB2;CBL;WASF2;DNM2
GO_Molecular_Function_2023,NF-kappaB Binding (GO:0051059),5/26,0.0073660049287782,0.057474222667967,0,0,4.705474705474705,23.10802064210184,NFKBIA;PSMA6;CPNE1;EP300;HIF1AN
GO_Molecular_Function_2023,Eukaryotic Initiation Factor 4E Binding (GO:0008190),3/9,0.0076002860390028,0.0577816618093422,0,0,9.86877593360996,48.15537701853744,DDX3X;EIF4EBP2;EIF4G1
GO_Molecular_Function_2023,Non-Membrane Spanning Protein Tyrosine Phosphatase Activity (GO:0004726),3/9,0.0076002860390028,0.0577816618093422,0,0,9.86877593360996,48.15537701853744,PTPN1;PTPN11;PTPN7
GO_Molecular_Function_2023,Nuclear Retinoic Acid Receptor Binding (GO:0042974),4/17,0.0077992001915938,0.0578115714201895,0,0,6.077162712676731,29.496931829502625,MED1;PRMT2;HMGA1;TACC1
GO_Molecular_Function_2023,Phosphatase Activator Activity (GO:0019211),4/17,0.0077992001915938,0.0578115714201895,0,0,6.077162712676731,29.496931829502625,PPP1R15A;PPP4R3A;CALM3;PHACTR4
GO_Molecular_Function_2023,Nucleosome Binding (GO:0031491),8/62,0.0096966912802396,0.0709893571503968,0,0,2.931912099795312,13.5922581697542,RNF168;MLLT10;ARID1A;RNF4;ARID1B;MACROH2A1;SUPT6H;SMARCA4
GO_Molecular_Function_2023,Protein Kinase Activator Activity (GO:0030295),10/88,0.0099067963953363,0.0716430519809076,0,0,2.5393189186292635,11.717774128794352,UXT;DDX3X;WNK1;TAOK1;NCKAP1L;RICTOR;CALM3;IQGAP1;GCN1;MOB3A
GO_Molecular_Function_2023,Tau Protein Binding (GO:0048156),6/39,0.0104650301597254,0.0747682275267133,0,0,3.5947403273105665,16.390995134124047,PPP2CA;SMAD2;ROCK1;TAOK1;DYRK1A;EP300
GO_Molecular_Function_2023,Protein Tyrosine Phosphatase Activity (GO:0004725),9/76,0.01086632845243,0.0767111044320362,0,0,2.6593649705543263,12.025878176009774,PTP4A1;PPP2CA;PTPN1;PTPRE;MTMR3;UBASH3B;DUSP1;PTPN11;PTPN7
GO_Molecular_Function_2023,Histone Methyltransferase Activity (GO:0042054),4/19,0.011763574647265,0.0813849905722435,0,0,5.26632052613361,23.396931909813294,SUZ12;PRMT2;KMT2C;SMYD3
GO_Molecular_Function_2023,Gamma-Tubulin Binding (GO:0043015),5/29,0.0118028822752326,0.0813849905722435,0,0,4.116640679140679,18.27546204119308,DDX3X;TUBGCP2;TUBGCP6;TUBGCP4;CDK5RAP2
GO_Molecular_Function_2023,2-Oxoglutarate-Dependent Dioxygenase Activity (GO:0016706),6/41,0.0132959484962606,0.0906264075664659,0,0,3.3889698231009366,14.641352481117462,FTO;KDM5A;KDM2A;KDM4C;JARID2;KDM6A
GO_Molecular_Function_2023,pre-mRNA Binding (GO:0036002),5/30,0.0136129557384574,0.0914945474211453,0,0,3.951767151767152,16.979689561768556,HNRNPL;RBM4;CELF2;U2AF1;PRPF8
