gene_id,mean_d1,mean_d2,delta_mean_d1_minus_d2,detected_frac_d1,detected_frac_d2,delta_detected_frac_d1_minus_d2,u_statistic,p_value,q_value_bh,abs_delta_mean
ENSG00000117523,5.076736672051696,433.65930372149035,-428.58256704943864,0.0961227786752828,0.8993997599039211,-0.8032769812286382,360665.0,0.0,0.0,428.58256704943864
ENSG00000132424,4.407108239095313,429.0857142857155,-424.6786060466202,0.05573505654281092,0.8144057623048874,-0.7586707057620764,555953.0,0.0,0.0,424.6786060466202
ENSG00000127603,7.7827140549272995,427.54645858343537,-419.7637445285081,0.0961227786752828,0.8220888355341786,-0.7259660568588957,583942.5,0.0,0.0,419.7637445285081
ENSG00000008988,6.56785137318255,426.1243697479019,-419.5565183747193,0.10177705977382887,0.9188475390155644,-0.8170704792417355,352683.0,0.0,0.0,419.5565183747193
ENSG00000116489,1.2463651050080777,419.59615846338664,-418.3497933583786,0.04200323101777058,0.7865546218487068,-0.7445513908309362,599118.5,0.0,0.0,418.3497933583786
ENSG00000105193,8.529886914378029,420.04417767107014,-411.5142907566921,0.09773828756058167,0.9154861944777495,-0.8177479069171678,355653.5,0.0,0.0,411.5142907566921
ENSG00000099783,5.544426494345721,414.3891956782731,-408.8447691839274,0.040387722132471715,0.7183673469387476,-0.6779796248062759,781118.0,0.0,0.0,408.8447691839274
ENSG00000092199,0.47657512116316614,408.3078031212497,-407.8312280000865,0.04281098546042001,0.8626650660263726,-0.8198540805659525,382556.5,0.0,0.0,407.8312280000865
ENSG00000005483,1.4046849757673678,398.0799519807933,-396.6752670050259,0.05250403877221319,0.8576230492196503,-0.8051190104474371,419800.0,0.0,0.0,396.6752670050259
ENSG00000009307,2.7722132471728593,396.2797118847548,-393.50749863758193,0.0323101777059774,0.7476590636254202,-0.7153488859194428,692288.0,0.0,0.0,393.50749863758193
ENSG00000143947,4.928917609046846,396.6187274909996,-391.6898098819528,0.09693053311793223,0.9262905162064402,-0.829359983088508,312443.0,0.0,0.0,391.6898098819528
ENSG00000181163,1.630856219709209,392.61824729892027,-390.9873910792111,0.027463651050080792,0.818967587034779,-0.7915039359846983,497423.0,0.0,0.0,390.9873910792111
ENSG00000159140,12.375605815831982,402.714525810326,-390.338919994494,0.0961227786752828,0.8969987995197676,-0.8008760208444847,386160.5,0.0,0.0,390.338919994494
ENSG00000147168,7.113085621970924,395.69315726290546,-388.58007164093453,0.01938610662358644,0.7277310924369462,-0.7083449858133598,724213.0,0.0,0.0,388.58007164093453
ENSG00000150991,6.470920840064622,393.38799519808106,-386.9170743580164,0.08481421647819065,0.8907563025209685,-0.8059420860427778,372845.0,0.0,0.0,386.9170743580164
ENSG00000029363,8.489499192245558,390.82448979591993,-382.3349906036744,0.040387722132471715,0.7659063625449868,-0.7255186404125151,654791.0,0.0,0.0,382.3349906036744
ENSG00000109332,5.528271405492732,387.54837935174237,-382.02010794624965,0.062197092084006374,0.7702280912364631,-0.7080309991524567,671578.0,0.0,0.0,382.02010794624965
ENSG00000136156,2.4927302100161555,379.49219687875217,-376.99946666873603,0.02423263327948305,0.7224489795918085,-0.6982163463123254,748261.0,0.0,0.0,376.99946666873603
ENSG00000177600,6.135702746365103,380.0986794717918,-373.9629767254267,0.12035541195476596,0.9373349339735463,-0.8169795220187803,325533.0,0.0,0.0,373.9629767254267
ENSG00000034510,5.189014539579968,378.3106842737107,-373.12166973413076,0.11147011308562213,0.9445378151260068,-0.8330677020403846,274904.0,0.0,0.0,373.12166973413076
ENSG00000231925,2.2067851373182563,374.62833133253434,-372.4215461952161,0.0500807754442649,0.8434573829531447,-0.7933766075088797,450391.5,0.0,0.0,372.4215461952161
ENSG00000168028,2.119547657512117,373.15366146458723,-371.03411380707513,0.0630048465266558,0.9020408163264899,-0.8390359697998341,317332.0,0.0,0.0,371.03411380707513
ENSG00000026025,1.522617124394184,368.72004801920946,-367.1974308948153,0.058158319870759215,0.7551020408162961,-0.6969437209455368,694381.5,0.0,0.0,367.1974308948153
ENSG00000147065,0.6890145395799678,366.52436974789913,-365.8353552083192,0.03715670436187399,0.7719087635053705,-0.7347520591434965,625708.5,0.0,0.0,365.8353552083192
ENSG00000170889,5.140549273021,368.50276110444395,-363.36221183142294,0.09693053311793223,0.9200480192076411,-0.8231174860897089,323379.5,0.0,0.0,363.36221183142294
ENSG00000048740,2.29967689822294,363.97118847539116,-361.67151157716825,0.05492730210016149,0.8439375750299754,-0.7890102729298138,463933.0,0.0,0.0,361.67151157716825
ENSG00000125354,0.48869143780290786,362.1020408163275,-361.61334937852456,0.020193861066235875,0.7238895558223006,-0.7036956947560647,738167.0,0.0,0.0,361.61334937852456
ENSG00000085224,2.277867528271406,361.02689075630406,-358.7490232280326,0.049273021001615465,0.7515006002400658,-0.7022275792384504,710990.5,0.0,0.0,358.7490232280326
