gene_id,mean_d1,mean_d2,delta_mean_d1_minus_d2,detected_frac_d1,detected_frac_d2,delta_detected_frac_d1_minus_d2,u_statistic,p_value,q_value_bh,abs_delta_mean
ENSG00000254252,0.284329563812601,0.1654261704681873,0.11890339334441369,0.0008077544426494346,0.054741896758703265,-0.05393414231605383,2439199.5,1.4394140225020135e-16,1.5631552447725648e-16,0.11890339334441369
ENSG00000220744,1.3497576736672052,1.2434573829531772,0.10630029071402802,0.005654281098546042,0.19087635054021806,-0.18522206944167202,2100616.0,7.037172800062881e-58,1.5840687004914234e-57,0.10630029071402802
ENSG00000213594,0.1825525040387722,0.09819927971188433,0.08435322432688788,0.002423263327948304,0.0689075630252097,-0.0664842996972614,2407151.0,1.0163234000818622e-19,1.1923692509539635e-19,0.08435322432688788
ENSG00000135248,0.43537964458804523,0.3980792316926765,0.03730041289536873,0.016962843295638134,0.07707082833133205,-0.06010798503569392,2423718.0,3.1187270495844375e-14,3.212442982765797e-14,0.03730041289536873
ENSG00000214821,0.2261712439418417,0.1894357743097238,0.036735469632117906,0.0016155088852988692,0.06746698679471752,-0.06585147790941866,2408455.5,7.368454272850728e-20,8.669993131935715e-20,0.036735469632117906
ENSG00000214297,0.15751211631663975,0.1282112845138052,0.029300831802834548,0.0008077544426494346,0.06218487394957953,-0.061377119506930096,2420026.0,8.817542195293928e-19,1.0139624291669642e-18,0.029300831802834548
ENSG00000204434,0.2867528271405493,0.26002400960384314,0.02672881753670614,0.0032310177705977385,0.11356542617046728,-0.11033440839986954,2294274.0,4.6585462890238976e-33,7.019868667567143e-33,0.02672881753670614
ENSG00000230360,0.9951534733441035,0.9855942376950761,0.009559235649027387,0.004846526655896607,0.11692677070828236,-0.11208024405238576,2289013.0,3.083478348912123e-33,4.665471338601026e-33,0.009559235649027387
ENSG00000243824,0.2746365105008077,0.27322929171668714,0.0014072187841205341,0.008077544426494346,0.11116446578631364,-0.1030869213598193,2313132.5,3.1866825237061047e-29,4.5066205136631633e-29,0.0014072187841205341
ENSG00000236680,0.10662358642972537,0.10828331332532978,-0.0016597268956044103,0.002423263327948304,0.05522208883553399,-0.05279882550758569,2442028.5,1.0095903706488344e-15,1.070386115341282e-15,0.0016597268956044103
