cell_id,H,S,M,R,phi,treatment_state,d2_subdomain,H_rank,M_rank,phi_rank,inv_R_rank,ripeness_proxy
GSM4916731_ND3_untreated_080818_plate1_D4_S124_rep1_NA,1.5981068663204023,0.3739034625087967,0.14831929,1.0833263,1.9721419420301058,untreated,D2_1,0.44680851063829785,0.10030395136778116,0.4133738601823708,0.043768996960486306,0.25106382978723407
GSM4916736_ND3_untreated_080818_plate1_D9_S164_rep1_NA,1.449367381194773,0.4753231757667747,0.69807005,1.270401,2.1042382048143713,untreated,D2_1,0.3689969604863222,0.48936170212765956,0.4838905775075988,0.026139817629179385,0.34209726443769
GSM4916740_ND3_untreated_080818_plate1_E1_S101_rep1_NA,1.707014389684757,-0.0911667260530533,0.4011705,1.1399719,2.093485897107959,untreated,D2_1,0.5009118541033435,0.2072948328267477,0.4808510638297872,0.0389057750759878,0.3069908814589665
GSM4916741_ND3_untreated_080818_plate1_E2_S109_rep1_NA,1.3855194969313929,0.4401676728981932,0.16289645,1.5257795,2.1137526328036786,untreated,D2_1,0.33556231003039516,0.1033434650455927,0.4917933130699088,0.009726443768997006,0.23510638297872344
GSM4916743_ND3_untreated_080818_plate1_E4_S125_rep1_NA,2.0332090479977003,0.3274704030811505,-0.1111836,1.9396695,2.83122861314537,untreated,D2_1,0.6395136778115501,0.0486322188449848,0.7677811550151976,0.0,0.36398176291793316
GSM4916744_ND3_untreated_080818_plate1_E5_S133_rep1_NA,1.924375676082676,-2.7389589683247766,-0.44748887,0.4211963,3.4033469680261734,untreated,D2_1,0.5951367781155015,0.01641337386018237,0.8796352583586626,0.11914893617021272,0.4025835866261398
GSM4916748_ND3_untreated_080818_plate1_E9_S165_rep1_NA,1.1000397953041503,0.9520430963000024,0.52321386,1.3900896,2.0790804332179054,untreated,D2_1,0.19209726443768996,0.31550151975683893,0.47112462006079026,0.017629179331307032,0.24908814589665654
GSM4916750_ND3_untreated_080818_plate1_F11_S182_rep1_NA,1.5031586146677598,0.4096470541225349,0.36315152,1.573881,2.244165091618814,untreated,D2_1,0.3993920972644377,0.1817629179331307,0.5519756838905775,0.006686930091185372,0.28495440729483285
GSM4916753_ND3_untreated_080818_plate1_F2_S110_rep1_NA,2.311325492087792,-0.0299110025331733,0.7964953,1.1413473,2.6981843192389197,untreated,D2_1,0.7446808510638298,0.6133738601823708,0.7288753799392097,0.03829787234042559,0.531306990881459
GSM4916755_ND3_untreated_080818_plate1_F4_S126_rep1_NA,1.593229682103129,-0.6472873241253451,0.58325225,1.386945,2.2849860656167795,untreated,D2_1,0.443161094224924,0.3641337386018237,0.5714285714285714,0.018237082066869248,0.34924012158054707
GSM4916756_ND3_untreated_080818_plate1_F5_S134_rep1_NA,1.2543507641814304,0.6549642893716066,0.36969948,1.4435323,2.0549543222685394,untreated,D2_1,0.25957446808510637,0.1890577507598784,0.4601823708206687,0.015197568389057725,0.2310030395136778
GSM4916760_ND3_untreated_080818_plate1_F9_S166_rep1_NA,1.84117748326566,0.5082520120361573,0.61932486,1.3496854,2.419394261754469,untreated,D2_1,0.5665653495440729,0.3993920972644377,0.6352583586626139,0.02188449848024321,0.4057750759878419
GSM4916765_ND3_untreated_080818_plate1_G2_S111_rep1_NA,1.3407390822382284,0.0515534698168229,0.48802307,1.1355127,1.8242243983689823,untreated,D2_1,0.3021276595744681,0.286322188449848,0.35015197568389056,0.04072948328267478,0.24483282674772036
GSM4916767_ND3_untreated_080818_plate1_G4_S127_rep1_NA,2.087699310632212,0.7339789624150018,0.48432976,1.431608,2.6797929604668482,untreated,D2_1,0.6595744680851063,0.28328267477203645,0.7227963525835867,0.015805471124620052,0.4203647416413374
GSM4916768_ND3_untreated_080818_plate1_G5_S135_rep1_NA,1.827296509461015,-0.2502867372273853,0.6933312,1.2824843,2.350984924868781,untreated,D2_1,0.5574468085106383,0.4826747720364742,0.6024316109422493,0.025531914893617058,0.41702127659574467
GSM4916769_ND3_untreated_080818_plate1_G6_S143_rep1_NA,1.0396870426927989,0.0229757297208226,0.6544224,1.2284719,1.7374950122549624,untreated,D2_1,0.16474164133738603,0.43465045592705165,0.31367781155015195,0.029787234042553234,0.2357142857142857
GSM4916772_ND3_untreated_080818_plate1_G9_S167_rep1_NA,1.4900479763172725,0.725090012389695,0.4267403,1.5797305,2.3288740270930983,untreated,D2_1,0.39148936170212767,0.2231003039513678,0.5902735562310031,0.006079027355623046,0.3027355623100304
GSM4916780_ND3_untreated_080818_plate1_H7_S152_rep1_NA,1.33828307368037,-0.5878907469608107,0.612266,1.3324878,2.0705097216787847,untreated,D2_1,0.30030395136778115,0.39574468085106385,0.46808510638297873,0.023708206686930078,0.29696048632218847
GSM4916791_ND4_untreated_080818_plate1_A6_S41_rep1_NA,2.202844061268335,0.947716094112538,0.43902364,1.5614763,2.8951058262601794,untreated,D2_1,0.7069908814589666,0.24376899696048632,0.7860182370820669,0.008510638297872353,0.436322188449848
GSM4916795_ND4_untreated_080818_plate1_B10_S74_rep1_NA,1.0020173780602804,0.7336295626352198,0.47957006,1.2847978,1.8501199935248487,untreated,D2_1,0.15319148936170213,0.2790273556231003,0.3580547112462006,0.02492401215805473,0.20379939209726444
GSM4916798_ND4_untreated_080818_plate1_B1_S2_rep1_NA,2.4123230587437554,-0.777663606104914,0.4299055,1.6232911,3.040387468444834,untreated,D2_1,0.764741641337386,0.2291793313069909,0.8188449848024316,0.004255319148936176,0.45425531914893613
GSM4916803_ND4_untreated_080818_plate1_B6_S42_rep1_NA,1.6500616332525655,-0.9702428096828014,-0.9296836,0.80932844,2.2767078475674243,untreated,D2_1,0.47112462006079026,0.004863221884498481,0.5702127659574469,0.060182370820668685,0.276595744680851
GSM4916809_ND4_untreated_080818_plate1_C12_S91_rep1_NA,1.6782984933456655,0.4695342392717951,0.6077634,1.1963519,2.1994959544468466,untreated,D2_1,0.48753799392097263,0.38966565349544074,0.5325227963525836,0.031610942249240104,0.36033434650455926
GSM4916810_ND4_untreated_080818_plate1_C1_S3_rep1_NA,2.29791681553632,0.6307632299936392,0.17248064,1.877996,3.038898236306606,untreated,D2_1,0.7398176291793314,0.1088145896656535,0.8182370820668693,0.0012158054711246535,0.4170212765957447
GSM4916811_ND4_untreated_080818_plate1_C2_S11_rep1_NA,2.3878761835264486,-0.6112778367757338,0.080950715,1.5736021,2.92547258557818,untreated,D2_1,0.7592705167173253,0.07659574468085106,0.7933130699088146,0.007294832826747699,0.40911854103343465
GSM4916819_ND4_untreated_080818_plate1_D10_S76_rep1_NA,1.2337384834844105,0.745592410534891,0.51812136,1.4182844,2.08758211125916,untreated,D2_1,0.251063829787234,0.31124620060790276,0.47720364741641336,0.01641337386018238,0.2639817629179331
GSM4916823_ND4_untreated_080818_plate1_D2_S12_rep1_NA,1.4713430308994426,0.1884985541802084,0.5374552,0.82945937,1.7824822461927143,untreated,D2_1,0.3811550151975684,0.3252279635258359,0.33495440729483283,0.05775075987841949,0.27477203647416415
GSM4916834_ND4_untreated_080818_plate1_E1_S5_rep1_NA,2.9633470684150987,0.1579051842657521,0.3632802,1.642823,3.411334021778489,untreated,D2_1,0.8826747720364742,0.1829787234042553,0.8814589665653495,0.0036474164133738496,0.4876899696048632
GSM4916835_ND4_untreated_080818_plate1_E2_S13_rep1_NA,1.4860272053534098,0.3591254168418052,0.094070405,1.8842187,2.4282457187440523,untreated,D2_1,0.38966565349544074,0.08024316109422493,0.6382978723404256,0.0006079027355623268,0.2772036474164134
GSM4916845_ND4_untreated_080818_plate1_F12_S94_rep1_NA,1.4516010829514137,0.2932133162695938,0.57276636,1.1637254,1.9686131825771,untreated,D2_1,0.3702127659574468,0.35379939209726446,0.4115501519756839,0.03586626139817628,0.2928571428571428
GSM4916847_ND4_untreated_080818_plate1_F2_S14_rep1_NA,1.437333156714392,0.155206688513126,0.5788317,1.5076114,2.1674764104563216,untreated,D2_1,0.3629179331306991,0.35987841945288757,0.5185410334346504,0.010942249240121549,0.3130699088145896
GSM4916855_ND4_untreated_080818_plate1_G10_S79_rep1_NA,1.2189794814001569,0.6203639743581335,0.49111813,1.4518507,2.054222458610849,untreated,D2_1,0.24620060790273557,0.2887537993920973,0.45896656534954405,0.014589665653495398,0.2521276595744681
GSM4916857_ND4_untreated_080818_plate1_G12_S95_rep1_NA,1.7669317023488764,0.1047713089706674,0.73864347,1.1378222,2.230080313023593,untreated,D2_1,0.5288753799392097,0.5361702127659574,0.5452887537993921,0.040121580547112456,0.4126139817629179
GSM4916910_ND5_untreated_080818_plate1_C7_S147_rep1_NA,1.3102427136265855,0.0897513315161665,0.7452735,1.1391103,1.8915063138908164,untreated,D2_1,0.2844984802431611,0.547112462006079,0.37446808510638296,0.03951367781155013,0.3113981762917933
GSM4916950_ND5_untreated_080818_plate1_G11_S183_rep1_NA,1.8301697300449815,0.4514369982087265,0.19160797,1.723916,2.5616238196402197,untreated,D2_1,0.5598784194528875,0.11246200607902736,0.6844984802431611,0.002431610942249196,0.33981762917933134
GSM4916951_ND5_untreated_080818_plate1_G12_S191_rep1_NA,1.3246219802285857,0.6918727747080805,0.44731948,1.3174549,2.0418358057415973,untreated,D2_1,0.2948328267477204,0.24984802431610942,0.45288753799392095,0.024316109422492405,0.2554711246200608
GSM4916959_ND5_untreated_080818_plate1_G8_S159_rep1_NA,1.0096136116809853,0.5338767148025143,0.48256108,0.6965568,1.4221113047356226,untreated,D2_1,0.1574468085106383,0.28085106382978725,0.1635258358662614,0.07112462006079023,0.1682370820668693
GSM4916961_ND5_untreated_080818_plate1_H10_S176_rep1_NA,1.229977499243897,0.7977210333495739,0.46291423,1.3579984,2.051256379498583,untreated,D2_1,0.24984802431610942,0.2632218844984802,0.45653495440729486,0.020668693009118555,0.24756838905775075
GSM4916967_ND5_untreated_080818_plate1_H6_S144_rep1_NA,1.4676027518047905,0.6822460282551177,0.5715223,1.2296985,2.1114245476631215,untreated,D2_1,0.3799392097264438,0.35015197568389056,0.4911854103343465,0.02857142857142858,0.3124620060790273
GSM4916969_ND5_untreated_080818_plate1_H8_S160_rep1_NA,1.453354787046235,0.2615045670052372,0.43676135,1.5681787,2.1978557021748077,untreated,D2_1,0.3720364741641337,0.2364741641337386,0.5313069908814589,0.007902735562310026,0.2869300911854103
GSM4916971_P1_untreated_PBMC_071717_plate5_A10_rep_1_NA,0.7582827063887012,0.1641535083885991,0.66406655,0.18220294,1.0373626806946572,untreated,D2_1,0.060790273556231005,0.4462006079027356,0.03343465045592705,0.21276595744680848,0.18829787234042553
GSM4916973_P1_untreated_PBMC_071717_plate5_A12_rep_1_NA,1.3835487439267211,-1.174599865410377,0.78380185,0.038385835,1.9772988603231816,untreated,D2_1,0.3343465045592705,0.5987841945288754,0.417629179331307,0.2936170212765957,0.41109422492401215
GSM4916995_P1_untreated_PBMC_071717_plate5_C10_rep_1_NA,1.312662000091536,-0.1916055145701349,0.5344359,-0.77589476,1.6270920716118882,untreated,D2_1,0.2875379939209726,0.32401215805471123,0.25835866261398177,0.8778115501519757,0.4369300911854103
GSM4916996_P1_untreated_PBMC_071717_plate5_C11_rep_1_NA,1.9650426575809603,-1.8613017547674315,0.5003724,0.74486005,2.8514953798280867,untreated,D2_1,0.6133738601823708,0.29726443768996963,0.7732522796352583,0.06443768996960486,0.4370820668693009
GSM4916998_P1_untreated_PBMC_071717_plate5_C1_rep_1_NA,2.0516654288158205,-1.9385529985221592,0.79332954,0.620782,2.9970086437042305,untreated,D2_1,0.6468085106382979,0.609726443768997,0.8085106382978723,0.08024316109422491,0.536322188449848
GSM4916999_P1_untreated_PBMC_071717_plate5_C2_rep_1_NA,0.9109405189254596,-2.269615525682489,1.0222206,-0.44087496,2.687056558552229,untreated,D2_1,0.11671732522796352,0.8595744680851064,0.7252279635258359,0.6395136778115502,0.585258358662614
GSM4917001_P1_untreated_PBMC_071717_plate5_C4_rep_1_NA,1.6047981336547052,-1.4965382729854229,1.0232061,-0.8171812,2.5553355335459305,untreated,D2_1,0.44984802431610943,0.8620060790273556,0.6838905775075987,0.8948328267477204,0.722644376899696
GSM4917003_P1_untreated_PBMC_071717_plate5_C6_rep_1_NA,0.9867018968171524,-0.0196925829460591,0.61055803,-0.5603487,1.2886970957501318,untreated,D2_1,0.1458966565349544,0.39209726443769,0.11550151975683891,0.7361702127659575,0.3474164133738602
GSM4917004_P1_untreated_PBMC_071717_plate5_C7_rep_1_NA,1.3370867333456642,0.3929287989155504,0.4057822,-0.67344624,1.6001196847464798,untreated,D2_1,0.29908814589665655,0.20972644376899696,0.24316109422492402,0.8206686930091185,0.393161094224924
GSM4917005_P1_untreated_PBMC_071717_plate5_C8_rep_1_NA,1.193300043412014,-1.9013015051354225,0.4831314,0.5658843,2.3648580079340467,untreated,D2_1,0.235258358662614,0.28206686930091185,0.6115501519756839,0.08753799392097261,0.3041033434650456
GSM4917009_P1_untreated_PBMC_071717_plate5_D12_rep_1_NA,1.4203981068527525,-0.8753148786396888,0.42999852,1.1808245,2.0887680928531385,untreated,D2_1,0.35440729483282674,0.2297872340425532,0.4778115501519757,0.03404255319148941,0.27401215805471124
GSM4917013_P1_untreated_PBMC_071717_plate5_D4_rep_1_NA,1.553504670299781,-2.545551931168887,0.47168317,0.48614356,3.058109214647444,untreated,D2_1,0.4249240121580547,0.27173252279635257,0.8218844984802431,0.10030395136778114,0.40471124620060794
GSM4917016_P1_untreated_PBMC_071717_plate5_D7_rep_1_NA,1.7763332164097287,-2.060457037998144,0.25252488,0.8289069,2.855117924892638,untreated,D2_1,0.5319148936170213,0.1331306990881459,0.7750759878419453,0.058358662613981815,0.3746200607902736
