cell_id,d2_subdomain,bcell_lymphoid_like_score,antigen_presentation_score,stress_immediate_early_score,malignant_output_core_score
GSM4916603_ND2_untreated_080818_plate1_A6_S41_rep1_NA,D2_2,0.5922018879127593,0.4140974715492652,-0.0472934011728266,-0.0007043599673636218
GSM4916604_ND2_untreated_080818_plate1_A7_S49_rep1_NA,D2_2,-0.2990453916993496,0.3637336414610926,0.43379420146219966,0.3457937631075043
GSM4916605_ND2_untreated_080818_plate1_A8_S57_rep1_NA,D2_2,-0.09351732315899275,-0.03646054017136324,0.2416576753590945,-0.13538777660824544
GSM4916606_ND2_untreated_080818_plate1_A9_S65_rep1_NA,D2_2,0.9551235177869187,0.8980143388517055,0.9940449636796496,0.6655299529637088
GSM4916607_ND2_untreated_080818_plate1_B10_S74_rep1_NA,D2_2,0.44091122623947976,0.3540108017799363,0.23658265876123655,-0.20942199290564978
GSM4916608_ND2_untreated_080818_plate1_B11_S82_rep1_NA,D2_2,0.25395642187585316,-0.789938303830114,-1.6653355375568608,-1.0712351336716028
GSM4916609_ND2_untreated_080818_plate1_B12_S90_rep1_NA,D2_2,0.18345027751090215,0.17430548137082186,-0.47603617304291085,-0.06258339238237703
GSM4916610_ND2_untreated_080818_plate1_B1_S2_rep1_NA,D2_2,0.4304317823239971,0.17285896735798514,-0.3007441465593176,-0.10849443478771294
GSM4916611_ND2_untreated_080818_plate1_B2_S10_rep1_NA,D2_2,0.25144686844772735,0.5259892856853955,-0.7133567393576707,0.11754651834690391
GSM4916612_ND2_untreated_080818_plate1_B3_S18_rep1_NA,D2_2,0.739424413357178,1.0914893887876598,-1.6653355375568608,0.42894934447650646
GSM4916613_ND2_untreated_080818_plate1_B4_S26_rep1_NA,D2_2,-0.1920043307897481,-0.49505642992933874,0.6195525235487,-0.8358010177721186
GSM4916614_ND2_untreated_080818_plate1_B5_S34_rep1_NA,D2_2,0.502467460536079,0.20858894835595587,0.1228849267277045,-0.3859481356682387
GSM4916615_ND2_untreated_080818_plate1_B6_S42_rep1_NA,D2_2,0.5535996605047941,-0.007406035873652188,0.44211887528863053,-0.3997466310127699
GSM4916616_ND2_untreated_080818_plate1_B7_S50_rep1_NA,D2_2,0.48909606390935945,0.3688217456581455,0.23555820362536822,0.010088636920964242
GSM4916617_ND2_untreated_080818_plate1_B8_S58_rep1_NA,D2_2,0.8854066218378033,0.4033585070965566,0.19172457495962725,0.3442579415252651
GSM4916618_ND2_untreated_080818_plate1_B9_S66_rep1_NA,D2_2,0.36979087955883166,-0.5323393495083654,-0.00850013784048958,-0.9161931116530906
GSM4916619_ND2_untreated_080818_plate1_C10_S75_rep1_NA,D2_2,0.18691391350454856,-1.3079529623822719,-0.6786549828104121,-1.051230123229665
GSM4916620_ND2_untreated_080818_plate1_C11_S83_rep1_NA,D2_2,0.22165488581155257,-0.6578902975282647,-0.9416531230743838,-1.0188442618458584
GSM4916621_ND2_untreated_080818_plate1_C12_S91_rep1_NA,D2_2,0.42608872102110645,0.7488646518101064,-1.6653355375568608,0.6763798146135444
GSM4916622_ND2_untreated_080818_plate1_C1_S3_rep1_NA,D2_2,0.6098130930206385,1.2620318340813688,-0.24773978932619778,0.6164680160384161
GSM4916623_ND2_untreated_080818_plate1_C2_S11_rep1_NA,D2_2,0.5425684184911725,0.3714621676196963,-1.4370391538401475,0.3771241160837231
GSM4916624_ND2_untreated_080818_plate1_C3_S19_rep1_NA,D2_2,0.8215816007264028,1.1194668123164047,0.6166619554628551,0.7174931382740047
GSM4916625_ND2_untreated_080818_plate1_C4_S27_rep1_NA,D2_2,0.5200006267551349,0.2742417298028156,0.3409108372070517,0.17021742533968018
GSM4916626_ND2_untreated_080818_plate1_C5_S35_rep1_NA,D2_2,0.10366122623947971,-1.6893885060646046,-0.5562760442047161,-1.910495366648171
GSM4916627_ND2_untreated_080818_plate1_C6_S43_rep1_NA,D2_2,0.4282715033280881,-0.010763831954380998,0.3625397484588457,-0.007989030845590361
GSM4916628_ND2_untreated_080818_plate1_C7_S51_rep1_NA,D2_2,0.6138820598348993,0.28781763774018737,-0.2955572352565815,0.10067738071763416
GSM4916629_ND2_untreated_080818_plate1_C8_S59_rep1_NA,D2_2,0.6820727639923496,0.7277804783978946,0.5732803281076746,0.3547151164599009
GSM4916630_ND2_untreated_080818_plate1_C9_S67_rep1_NA,D2_2,-0.38400866157949637,-1.1041925454133092,-0.004222648359831552,-1.6340456734190412
GSM4916631_ND2_untreated_080818_plate1_D10_S76_rep1_NA,D2_2,0.11364145560870911,-0.9055526535286677,-0.48506035564095745,-0.8461412232422982
GSM4916632_ND2_untreated_080818_plate1_D11_S84_rep1_NA,D2_2,0.5315881917441888,0.16587485431721663,0.5330117563259066,0.05115850621303401
GSM4916633_ND2_untreated_080818_plate1_D12_S92_rep1_NA,D2_2,0.8051687693524523,0.6850797381216049,1.032256466246582,0.3620134666388336
GSM4916634_ND2_untreated_080818_plate1_D1_S4_rep1_NA,D2_2,0.7435643138597642,0.9185556236172306,0.575115218985087,0.5354251339798635
